period,test_date,stock_id,model_name,predicted_value,actual_value,error_percentage,error_absolute
135,2024-02,8299,Prophet,4343401409.120511,4664908000.0,6.892024255987233,321506590.87948895
136,2024-03,8299,Prophet,4377690145.3351345,6774966000.0,35.38432303077042,2397275854.6648655
137,2024-04,8299,Prophet,4554146729.596251,5156193000.0,11.676177955397508,602046270.4037495
138,2024-05,8299,Prophet,4581137546.131709,5377566000.0,14.810203238199046,796428453.8682909
139,2024-06,8299,Prophet,4598941806.435019,5361009000.0,14.214995601853708,762067193.5649815
140,2024-07,8299,Prophet,4640518021.40103,4706092000.0,1.393384969927711,65573978.59897041
141,2024-08,8299,Prophet,4663128860.50432,4805588000.0,2.9644476283792924,142459139.49567986
142,2024-09,8299,Prophet,4618752019.337212,4430879000.0,4.240084627389094,187873019.3372116
143,2024-10,8299,Prophet,4603256780.96153,3717027000.0,23.842435929616055,886229780.9615297
144,2024-11,8299,Prophet,4471800887.624967,4333904000.0,3.181816847465164,137896887.62496662
145,2024-12,8299,Prophet,4477510130.512827,4521378000.0,0.9702322939416497,43867869.48717308
146,2025-01,8299,Prophet,4472601440.216088,3613390000.0,23.77854148641825,859211440.2160883
147,2025-02,8299,Prophet,4377533298.066528,4527416000.0,3.310557323061801,149882701.93347168
148,2025-03,8299,Prophet,4364130015.539334,5697759000.0,23.406202060505994,1333628984.4606657
149,2025-04,8299,Prophet,4473342617.909473,6002833000.0,25.479475809014286,1529490382.0905266
150,2025-05,8299,Prophet,4609807146.87444,5689559000.0,18.977777594459603,1079751853.1255598
151,2025-06,8299,Prophet,4696973134.046438,6197679000.0,24.213997949128405,1500705865.9535618
