,date,stock_id,type,value,origin_name
239,2018-12-31,1103,GrossProfit,69038000.0,營業毛利（毛損）淨額
240,2018-12-31,1103,OperatingIncome,-64981000.0,營業利益（損失）
241,2018-12-31,1103,TotalNonoperatingIncomeAndExpense,-251371000.0,營業外收入及支出
242,2018-12-31,1103,OtherComprehensiveIncome,-1526274000.0,其他綜合損益（淨額）
243,2018-12-31,1103,EquityAttributableToOwnersOfParent,-183211000.0,淨利（淨損）歸屬於母公司業主
244,2018-12-31,1103,NoncontrollingInterests,-23262000.0,淨利（淨損）歸屬於非控制權益
245,2018-12-31,1103,IncomeLossFromDiscontinuedOperation,207680000.0,停業單位損益
246,2019-03-31,1103,IncomeBeforeIncomeTax,171491000.0,稅前淨利(淨損)
247,2019-03-31,1103,NetIncome,148581000.0,本期淨利(淨損)
248,2019-03-31,1103,OperatingExpenses,121189000.0,營業費用
249,2019-03-31,1103,TAX,23761000.0,所得稅費用（利益）
250,2019-03-31,1103,IncomeLossFromDiscontinuedOperation,851000.0,停業單位損益
251,2019-03-31,1103,EPS,0.2,基本每股盈餘（元）
252,2019-03-31,1103,PreTaxIncome,171491000.0,稅前淨利（淨損）
253,2019-03-31,1103,IncomeFromContinuingOperations,147730000.0,繼續營業單位本期淨利（淨損）
254,2019-03-31,1103,IncomeAfterTaxes,148581000.0,本期淨利（淨損）
255,2019-03-31,1103,TotalConsolidatedProfitForThePeriod,1771613000.0,本期綜合損益總額
256,2019-03-31,1103,Revenue,452376000.0,營業收入
257,2019-03-31,1103,CostOfGoodsSold,387155000.0,營業成本
258,2019-03-31,1103,GrossProfit,65221000.0,營業毛利（毛損）淨額
259,2019-03-31,1103,OperatingIncome,-55968000.0,營業利益（損失）
260,2019-03-31,1103,TotalNonoperatingIncomeAndExpense,227459000.0,營業外收入及支出
261,2019-03-31,1103,OtherComprehensiveIncome,1623032000.0,其他綜合損益（淨額）
262,2019-03-31,1103,EquityAttributableToOwnersOfParent,126476000.0,淨利（淨損）歸屬於母公司業主
263,2019-03-31,1103,NoncontrollingInterests,22105000.0,淨利（淨損）歸屬於非控制權益
264,2019-06-30,1103,IncomeBeforeIncomeTax,133489000.0,稅前淨利(淨損)
265,2019-06-30,1103,NetIncome,639750000.0,本期淨利(淨損)
266,2019-06-30,1103,OperatingExpenses,112139000.0,營業費用
267,2019-06-30,1103,TAX,96543000.0,所得稅費用（利益）
268,2019-06-30,1103,IncomeLossFromDiscontinuedOperation,602804000.0,停業單位損益
269,2019-06-30,1103,EPS,0.93,基本每股盈餘（元）
270,2019-06-30,1103,PreTaxIncome,133489000.0,稅前淨利（淨損）
271,2019-06-30,1103,IncomeFromContinuingOperations,36946000.0,繼續營業單位本期淨利（淨損）
272,2019-06-30,1103,IncomeAfterTaxes,639750000.0,本期淨利（淨損）
273,2019-06-30,1103,TotalConsolidatedProfitForThePeriod,2035798000.0,本期綜合損益總額
274,2019-06-30,1103,Revenue,438033000.0,營業收入
275,2019-06-30,1103,CostOfGoodsSold,384622000.0,營業成本
276,2019-06-30,1103,GrossProfit,53411000.0,營業毛利（毛損）淨額
277,2019-06-30,1103,OperatingIncome,-58728000.0,營業利益（損失）
278,2019-06-30,1103,TotalNonoperatingIncomeAndExpense,192217000.0,營業外收入及支出
279,2019-06-30,1103,OtherComprehensiveIncome,1396048000.0,其他綜合損益（淨額）
280,2019-06-30,1103,EquityAttributableToOwnersOfParent,601875000.0,淨利（淨損）歸屬於母公司業主
281,2019-06-30,1103,NoncontrollingInterests,37875000.0,淨利（淨損）歸屬於非控制權益
282,2019-09-30,1103,IncomeBeforeIncomeTax,818555000.0,稅前淨利(淨損)
283,2019-09-30,1103,NetIncome,808188000.0,本期淨利(淨損)
284,2019-09-30,1103,OperatingExpenses,152909000.0,營業費用
285,2019-09-30,1103,TAX,10701000.0,所得稅費用（利益）
286,2019-09-30,1103,IncomeLossFromDiscontinuedOperation,334000.0,停業單位損益
287,2019-09-30,1103,EPS,1.18,基本每股盈餘（元）
288,2019-09-30,1103,PreTaxIncome,818555000.0,稅前淨利（淨損）
289,2019-09-30,1103,IncomeFromContinuingOperations,807854000.0,繼續營業單位本期淨利（淨損）
290,2019-09-30,1103,IncomeAfterTaxes,808188000.0,本期淨利（淨損）
291,2019-09-30,1103,TotalConsolidatedProfitForThePeriod,-233065000.0,本期綜合損益總額
292,2019-09-30,1103,Revenue,472584000.0,營業收入
